sequence	observed_at	environment	method	endpoint	auth_mode	http_status
1	2026-07-12T14:48:14-0300	controlled	GET	/openapi.json	none	200
2	2026-07-12T14:48:14-0300	controlled	GET	/pet/9120712000029	none	404
3	2026-07-12T14:48:14-0300	controlled	GET	/pet/9120712000029	invalid-api-key	404
4	2026-07-12T14:48:14-0300	controlled	POST	/pet	none	200
5	2026-07-12T14:48:14-0300	controlled	GET	/pet/912071200002	none	200
6	2026-07-12T14:48:14-0300	controlled	PUT	/pet	none	200
7	2026-07-12T14:48:14-0300	controlled	GET	/pet/912071200002	none	200
8	2026-07-12T14:48:15-0300	controlled	GET	/pet/findByStatus?status=pending	none	200
9	2026-07-12T14:48:17-0300	controlled	GET	/pet/findByStatus?status=pending	none	200
10	2026-07-12T14:48:17-0300	controlled	GET	/pet/findByStatus?status=pilot-invalid-status	none	400
11	2026-07-12T14:48:17-0300	controlled	GET	/pet/not-an-integer	none	400
12	2026-07-12T14:48:17-0300	controlled	DELETE	/pet/912071200002	none	200
13	2026-07-12T14:48:17-0300	controlled	GET	/pet/912071200002	none	404
14	2026-07-12T14:48:17-0300	controlled	DELETE	/pet/912071200002	none	200
