sequence	observed_at	environment	method	endpoint	auth_mode	http_status
1	2026-07-12T14:46:17-0300	public	GET	/openapi.json	none	200
2	2026-07-12T14:46:18-0300	public	GET	/pet/9120712000019	none	404
3	2026-07-12T14:46:19-0300	public	GET	/pet/9120712000019	invalid-api-key	404
4	2026-07-12T14:46:19-0300	public	POST	/pet	none	200
5	2026-07-12T14:46:20-0300	public	GET	/pet/912071200001	none	200
6	2026-07-12T14:46:21-0300	public	PUT	/pet	none	200
7	2026-07-12T14:46:21-0300	public	GET	/pet/912071200001	none	200
8	2026-07-12T14:46:22-0300	public	GET	/pet/findByStatus?status=pending	none	200
9	2026-07-12T14:46:24-0300	public	GET	/pet/findByStatus?status=pending	none	200
10	2026-07-12T14:46:25-0300	public	GET	/pet/findByStatus?status=pilot-invalid-status	none	400
11	2026-07-12T14:46:26-0300	public	GET	/pet/not-an-integer	none	400
12	2026-07-12T14:46:26-0300	public	DELETE	/pet/912071200001	none	200
13	2026-07-12T14:46:27-0300	public	GET	/pet/912071200001	none	404
14	2026-07-12T14:46:28-0300	public	DELETE	/pet/912071200001	none	200
